Torch Seed,Data Seed,MLP Seed
82,89,104
82,48,103
82,85,111
82,76,127
82,47,129
82,79,164
82,69,177
49,89,198
49,48,171
49,85,125
49,76,183
49,47,169
49,79,153
49,69,128
43,89,157
43,48,175
43,85,135
43,76,100
43,47,120
43,79,154
43,69,143
59,89,189
59,48,119
59,85,196
59,76,179
59,47,113
59,79,197
59,69,148
57,89,112
57,48,145
57,85,144
57,76,133
57,47,105
57,79,158
57,69,115
56,89,172
56,48,110
56,85,178
56,76,118
56,47,187
56,79,140
56,69,139
50,89,156
50,48,155
50,85,123
50,76,136
50,47,191
50,79,170
50,69,199
