,Smiles,MTB Standardized Residuals,Scaffold
0,O=C1NC(CCC1(CC)C2=CC=C(N=[N+]=[N-])C=C2)=O,-0.4199528354619971,O=C1CCC(c2ccccc2)C(=O)N1
1,OC([C@@H](NC(OC(C)(C)C)=O)CC1=CC=C(N=[N+]=[N-])C=C1)=O,0.556693832196371,c1ccccc1
2,O[C@H]1[C@@H](CO)O[C@@H](OC2=CC=C(N=[N+]=[N-])C=C2)[C@H](O)[C@H]1O,0.3644650407590233,c1ccc(O[C@H]2CCCCO2)cc1
3,COC1=CC(CCN=[N+]=[N-])=CC=C1,1.249243665502677,c1ccccc1
4,C[C@@H](COC1=C2C(C3=O)=CC(F)=C1C4(N=[N+]=[N-])CC4)N2C=C3C(O)=O,-0.5689719526197704,O=c1ccn2c3c(c(C4CC4)ccc13)OCC2
5,O=C(C(C(O)=O)=CN1C2=CC=C(F)C=C2F)C3=C1N=C(N4CCC(N=[N+]=[N-])C4)C(F)=C3,1.206155066928173,O=c1ccn(-c2ccccc2)c2nc(N3CCCC3)ccc12
6,NC1=NC2=C(S1)C[C@@H](N=[N+]=[N-])CC2,-0.1601745222771243,c1nc2c(s1)CCCC2
7,[N-]=[N+]=NC1=CC=CC(CN2CCCCC2)=C1,1.000184226311437,c1ccc(CN2CCCCC2)cc1
8,CCOC(C1=CC(N=[N+]=[N-])=CC=C1)=O,1.259469707652317,c1ccccc1
9,[N-]=[N+]=NCCOC1=CC=CC=C1,1.21282831713664,c1ccccc1
10,CC(N=[N+]=[N-])CCC1=CC=CC=C1,1.434340997835281,c1ccccc1
11,C[C@@H](C1=C2C=CC=CC2=CC=C1)N=[N+]=[N-],1.352722193681778,c1ccc2ccccc2c1
12,O=C(OCC1=CC=CC=C1)[C@H](C(C)C)N=[N+]=[N-],0.9332979079050412,c1ccccc1
13,CC(C)(OC([C@H](CC(C=C1)=CC=C1OC(C)(C)C)N=[N+]=[N-])=O)C,0.8805424693343122,c1ccccc1
14,O=C(OC(C)(C)C)[C@@H](N=[N+]=[N-])CC1=CC=CC=C1,1.273501149768083,c1ccccc1
15,O=C(OC)C(C)(N=[N+]=[N-])CC1=CC=CC=C1,1.409387203225793,c1ccccc1
16,OC1=CC=CC=C1CN=[N+]=[N-],-0.5657791465256881,c1ccccc1
17,OC1=CC=C(CCN=[N+]=[N-])C=C1,-2.034964643542829,c1ccccc1
